language	testTitle	position	type	topic	prompt	options	correct	pairs
Python	Backend-разработчик	1	SINGLE_CHOICE	Роль и задачи	Что в первую очередь делает специалист «Backend-разработчик»?	A=занимается только настройкой офисной почты|B=только рисует интерфейс в графическом редакторе|C=пишет только тексты для презентаций|D=создает серверную часть: API, бизнес-логику и работу с базой данных	D	
Python	Backend-разработчик	2	SINGLE_CHOICE	Инструменты	Какой инструмент чаще всего подходит для создания REST API на Python?	A=Photoshop|B=Figma|C=Django REST Framework|D=FastAPI	C	
Python	Backend-разработчик	3	SINGLE_CHOICE	Базовые понятия	Что лучше всего описывает понятие «модель»?	A=цветовая палитра приложения|B=случайная ошибка компилятора|C=адрес сайта в браузере|D=описание сущности, которая обычно связана с таблицей БД	D	
Python	Backend-разработчик	4	SINGLE_CHOICE	Базовые понятия	Зачем обычно используют «ORM»?	A=для выбора шрифта интерфейса|B=для сжатия изображений|C=подход, который позволяет работать с таблицами через объекты Python|D=для оплаты подписки	C	
Python	Backend-разработчик	5	SINGLE_CHOICE	Форматы и обмен данными	Какой формат или протокол чаще всего встречается в задачах этой роли?	A=MP3|B=PNG|C=DOCX|D=JSON	D	
Python	Backend-разработчик	6	SINGLE_CHOICE	Зависимости и окружение	Какой инструмент связан с зависимостями или окружением в этой категории?	A=Paint|B=Telegram|C=PowerPoint|D=pip	D	
Python	Backend-разработчик	7	MULTIPLE_CHOICE	Рабочие задачи	Какие задачи относятся к работе «Backend-разработчик»?	A=работать с базой данных|B=описывать бизнес-логику|C=создавать API-эндпоинты|D=рисовать финальные макеты интерфейса	A,B,C	
Python	Backend-разработчик	8	MULTIPLE_CHOICE	Качество работы	Какие действия помогают сделать результат работы надежнее?	A=не отдавать пароль пользователя в ответе API|B=хранить пароль открытым текстом|C=возвращать понятные HTTP-статусы|D=проверять входные данные	A,C,D	
Python	Backend-разработчик	9	MULTIPLE_CHOICE	Инструменты и данные	Какие элементы действительно могут использоваться в работе с Python?	A=Django REST Framework|B=PostgreSQL|C=FastAPI|D=монтаж видео в TikTok	A,B,C	
Python	Backend-разработчик	10	MULTIPLE_CHOICE	Понимание процесса	Что стоит сделать перед тем, как считать задачу готовой?	A=посмотреть, понятен ли результат пользователю|B=удалить проект после запуска|C=проверить работу на тестовых данных|D=убедиться, что нет очевидных ошибок	A,C,D	
Python	Backend-разработчик	11	MULTIPLE_CHOICE	Безопасность и ошибки	Какие действия помогают избежать типичных ошибок junior-разработчика?	A=читать сообщения об ошибках|B=не доверять непроверенным входным данным|C=игнорировать все предупреждения|D=обрабатывать ошибки	A,B,D	
Python	Backend-разработчик	12	MULTIPLE_CHOICE	Командная разработка	Что полезно делать при работе над проектом в команде?	A=менять чужой код без понимания задачи|B=оставлять комментарии там, где логика неочевидна|C=делать небольшие осмысленные изменения|D=писать понятные названия	B,C,D	
Python	Backend-разработчик	13	MATCHING	Термины и инструменты	Сопоставьте инструмент и его назначение.			DRF=>фреймворк для REST API в Django|ORM=>работа с БД через объекты|serializer=>преобразование данных в формат API|migration=>изменение структуры БД
Python	Backend-разработчик	14	MATCHING	Базовые понятия	Сопоставьте термин и описание.			GET=>получение данных|POST=>создание данных|PUT=>полное обновление|DELETE=>удаление данных
Python	Backend-разработчик	15	MATCHING	Процесс работы	Сопоставьте часть процесса и ее роль.			request=>запрос от клиента|view=>обработка запроса|model=>данные приложения|response=>ответ клиенту
Python	Backend-разработчик	16	SHORT_TEXT	Краткий ответ	Как называется формат, в котором часто передают данные между frontend и backend?		JSON	
Python	Backend-разработчик	17	SHORT_TEXT	Краткий ответ	Как называется архитектурный стиль API с ресурсами и HTTP-методами?		REST	
Python	Backend-разработчик	18	SHORT_TEXT	Краткий ответ	Какой инструмент Python часто используют для установки пакетов?		pip	
Python	Backend-разработчик	19	SHORT_TEXT	Краткий ответ	Как называется изменение структуры базы данных в Django?		миграция	
Python	Backend-разработчик	20	SHORT_TEXT	Краткий ответ	Как называется объект Django, который описывает таблицу базы данных?		модель	
Python	Backend-разработчик	21	SHORT_TEXT	Краткий ответ	Как называется файл со списком зависимостей Python-проекта?		requirements.txt	
Python	Data Analyst	1	SINGLE_CHOICE	Роль и задачи	Что в первую очередь делает специалист «Data Analyst»?	A=пишет только тексты для презентаций|B=анализирует данные, строит отчеты и ищет закономерности|C=занимается только настройкой офисной почты|D=только рисует интерфейс в графическом редакторе	B	
Python	Data Analyst	2	SINGLE_CHOICE	Инструменты	Какой инструмент чаще всего подходит для работы с таблицами и наборами данных?	A=NumPy|B=Photoshop|C=Figma|D=pandas	D	
Python	Data Analyst	3	SINGLE_CHOICE	Базовые понятия	Что лучше всего описывает понятие «DataFrame»?	A=цветовая палитра приложения|B=случайная ошибка компилятора|C=табличная структура данных в pandas|D=адрес сайта в браузере	C	
Python	Data Analyst	4	SINGLE_CHOICE	Базовые понятия	Зачем обычно используют «groupby»?	A=для оплаты подписки|B=для сжатия изображений|C=для выбора шрифта интерфейса|D=группировка строк для расчета показателей по группам	D	
Python	Data Analyst	5	SINGLE_CHOICE	Форматы и обмен данными	Какой формат или протокол чаще всего встречается в задачах этой роли?	A=CSV|B=MP3|C=PNG|D=DOCX	A	
Python	Data Analyst	6	SINGLE_CHOICE	Зависимости и окружение	Какой инструмент связан с зависимостями или окружением в этой категории?	A=Jupyter Notebook|B=PowerPoint|C=Telegram|D=Paint	A	
Python	Data Analyst	7	MULTIPLE_CHOICE	Рабочие задачи	Какие задачи относятся к работе «Data Analyst»?	A=очищать данные|B=настраивать маршрутизацию в мобильном приложении|C=писать SQL-запросы|D=строить отчеты и графики	A,C,D	
Python	Data Analyst	8	MULTIPLE_CHOICE	Качество работы	Какие действия помогают сделать результат работы надежнее?	A=сравнивать показатели по группам|B=делать вывод без проверки данных|C=подписывать оси графика|D=проверять пропуски в данных	A,C,D	
Python	Data Analyst	9	MULTIPLE_CHOICE	Инструменты и данные	Какие элементы действительно могут использоваться в работе с Python?	A=SQL|B=монтаж видео в TikTok|C=pandas|D=NumPy	A,C,D	
Python	Data Analyst	10	MULTIPLE_CHOICE	Понимание процесса	Что стоит сделать перед тем, как считать задачу готовой?	A=посмотреть, понятен ли результат пользователю|B=проверить работу на тестовых данных|C=убедиться, что нет очевидных ошибок|D=удалить проект после запуска	A,B,C	
Python	Data Analyst	11	MULTIPLE_CHOICE	Безопасность и ошибки	Какие действия помогают избежать типичных ошибок junior-разработчика?	A=не доверять непроверенным входным данным|B=игнорировать все предупреждения|C=обрабатывать ошибки|D=читать сообщения об ошибках	A,C,D	
Python	Data Analyst	12	MULTIPLE_CHOICE	Командная разработка	Что полезно делать при работе над проектом в команде?	A=менять чужой код без понимания задачи|B=оставлять комментарии там, где логика неочевидна|C=делать небольшие осмысленные изменения|D=писать понятные названия	B,C,D	
Python	Data Analyst	13	MATCHING	Термины и инструменты	Сопоставьте инструмент и его назначение.			pandas=>табличный анализ данных|NumPy=>численные массивы|Matplotlib=>построение графиков|SQL=>выборка данных из БД
Python	Data Analyst	14	MATCHING	Базовые понятия	Сопоставьте термин и описание.			mean=>среднее значение|median=>медиана|filter=>отбор строк|groupby=>группировка данных
Python	Data Analyst	15	MATCHING	Процесс работы	Сопоставьте часть процесса и ее роль.			загрузка данных=>получение CSV/таблицы|очистка=>обработка пропусков и дублей|анализ=>расчет метрик|визуализация=>графики и отчеты
Python	Data Analyst	16	SHORT_TEXT	Краткий ответ	Как называется табличная структура данных в pandas?		DataFrame	
Python	Data Analyst	17	SHORT_TEXT	Краткий ответ	Какой SQL-оператор объединяет таблицы?		JOIN	
Python	Data Analyst	18	SHORT_TEXT	Краткий ответ	Как называется удаление дублей и пропусков перед анализом?		очистка	
Python	Data Analyst	19	SHORT_TEXT	Краткий ответ	Как называется графическое представление данных?		визуализация	
Python	Data Analyst	20	SHORT_TEXT	Краткий ответ	Какой формат файла часто используют для таблиц с разделителями?		CSV	
Python	Data Analyst	21	SHORT_TEXT	Краткий ответ	Какой метод pandas часто используют для группировки данных?		groupby	
Java	Junior Java Developer	1	SINGLE_CHOICE	Роль и задачи	Что в первую очередь делает специалист «Junior Java Developer»?	A=занимается только настройкой офисной почты|B=разрабатывает серверные приложения, REST API и бизнес-логику на Java|C=пишет только тексты для презентаций|D=только рисует интерфейс в графическом редакторе	B	
Java	Junior Java Developer	2	SINGLE_CHOICE	Инструменты	Какой инструмент чаще всего подходит для быстрого создания Java-приложений и API?	A=Spring Boot|B=Photoshop|C=Figma|D=Hibernate	A	
Java	Junior Java Developer	3	SINGLE_CHOICE	Базовые понятия	Что лучше всего описывает понятие «класс»?	A=шаблон для создания объектов в Java|B=цветовая палитра приложения|C=адрес сайта в браузере|D=случайная ошибка компилятора	A	
Java	Junior Java Developer	4	SINGLE_CHOICE	Базовые понятия	Зачем обычно используют «интерфейс»?	A=для выбора шрифта интерфейса|B=для оплаты подписки|C=контракт с набором методов без привязки к конкретной реализации|D=для сжатия изображений	C	
Java	Junior Java Developer	5	SINGLE_CHOICE	Форматы и обмен данными	Какой формат или протокол чаще всего встречается в задачах этой роли?	A=MP3|B=PNG|C=JSON|D=DOCX	C	
Java	Junior Java Developer	6	SINGLE_CHOICE	Зависимости и окружение	Какой инструмент связан с зависимостями или окружением в этой категории?	A=Paint|B=PowerPoint|C=Telegram|D=Maven	D	
Java	Junior Java Developer	7	MULTIPLE_CHOICE	Рабочие задачи	Какие задачи относятся к работе «Junior Java Developer»?	A=работать с сервисным слоем|B=писать REST-контроллеры|C=сохранять данные через репозитории|D=рисовать иконки для интерфейса	A,B,C	
Java	Junior Java Developer	8	MULTIPLE_CHOICE	Качество работы	Какие действия помогают сделать результат работы надежнее?	A=разделять controller, service и repository|B=валидировать входные данные|C=обрабатывать исключения|D=смешивать SQL, HTML и бизнес-логику в одном методе	A,B,C	
Java	Junior Java Developer	9	MULTIPLE_CHOICE	Инструменты и данные	Какие элементы действительно могут использоваться в работе с Java?	A=Hibernate|B=Spring Boot|C=монтаж видео в TikTok|D=PostgreSQL	A,B,D	
Java	Junior Java Developer	10	MULTIPLE_CHOICE	Понимание процесса	Что стоит сделать перед тем, как считать задачу готовой?	A=удалить проект после запуска|B=убедиться, что нет очевидных ошибок|C=посмотреть, понятен ли результат пользователю|D=проверить работу на тестовых данных	B,C,D	
Java	Junior Java Developer	11	MULTIPLE_CHOICE	Безопасность и ошибки	Какие действия помогают избежать типичных ошибок junior-разработчика?	A=игнорировать все предупреждения|B=не доверять непроверенным входным данным|C=обрабатывать ошибки|D=читать сообщения об ошибках	B,C,D	
Java	Junior Java Developer	12	MULTIPLE_CHOICE	Командная разработка	Что полезно делать при работе над проектом в команде?	A=оставлять комментарии там, где логика неочевидна|B=делать небольшие осмысленные изменения|C=писать понятные названия|D=менять чужой код без понимания задачи	A,B,C	
Java	Junior Java Developer	13	MATCHING	Термины и инструменты	Сопоставьте инструмент и его назначение.			Spring Boot=>быстрый старт Java-приложения|Hibernate=>ORM для работы с БД|Maven=>сборка и зависимости|JUnit=>модульные тесты
Java	Junior Java Developer	14	MATCHING	Базовые понятия	Сопоставьте термин и описание.			class=>описание объекта|interface=>контракт методов|constructor=>создание объекта|exception=>ошибка во время выполнения
Java	Junior Java Developer	15	MATCHING	Процесс работы	Сопоставьте часть процесса и ее роль.			controller=>принимает HTTP-запрос|service=>содержит бизнес-логику|repository=>работает с данными|DTO=>передает данные между слоями
Java	Junior Java Developer	16	SHORT_TEXT	Краткий ответ	Как называется основной инструмент Spring для быстрого старта backend-приложения?		Spring Boot	
Java	Junior Java Developer	17	SHORT_TEXT	Краткий ответ	Как называется файл проекта Maven?		pom.xml	
Java	Junior Java Developer	18	SHORT_TEXT	Краткий ответ	Как называется контракт методов в Java?		интерфейс	
Java	Junior Java Developer	19	SHORT_TEXT	Краткий ответ	Как называется механизм обработки ошибок в Java?		исключения	
Java	Junior Java Developer	20	SHORT_TEXT	Краткий ответ	Как называется библиотека для тестов в Java?		JUnit	
Java	Junior Java Developer	21	SHORT_TEXT	Краткий ответ	Какой формат часто возвращает REST API?		JSON	
Java	Android Developer	1	SINGLE_CHOICE	Роль и задачи	Что в первую очередь делает специалист «Android Developer»?	A=занимается только настройкой офисной почты|B=разрабатывает мобильные приложения для Android|C=пишет только тексты для презентаций|D=только рисует интерфейс в графическом редакторе	B	
Java	Android Developer	2	SINGLE_CHOICE	Инструменты	Какой инструмент чаще всего подходит для создания Android-приложений?	A=Photoshop|B=XML layout|C=Figma|D=Android SDK	D	
Java	Android Developer	3	SINGLE_CHOICE	Базовые понятия	Что лучше всего описывает понятие «Activity»?	A=цветовая палитра приложения|B=адрес сайта в браузере|C=экран приложения или точка взаимодействия с пользователем|D=случайная ошибка компилятора	C	
Java	Android Developer	4	SINGLE_CHOICE	Базовые понятия	Зачем обычно используют «Intent»?	A=для оплаты подписки|B=объект для перехода между экранами или передачи действия системе|C=для выбора шрифта интерфейса|D=для сжатия изображений	B	
Java	Android Developer	5	SINGLE_CHOICE	Форматы и обмен данными	Какой формат или протокол чаще всего встречается в задачах этой роли?	A=MP3|B=PNG|C=DOCX|D=JSON	D	
Java	Android Developer	6	SINGLE_CHOICE	Зависимости и окружение	Какой инструмент связан с зависимостями или окружением в этой категории?	A=Telegram|B=Paint|C=PowerPoint|D=Gradle	D	
Java	Android Developer	7	MULTIPLE_CHOICE	Рабочие задачи	Какие задачи относятся к работе «Android Developer»?	A=обрабатывать действия пользователя|B=администрировать сетевое оборудование|C=получать данные через API|D=создавать экраны приложения	A,C,D	
Java	Android Developer	8	MULTIPLE_CHOICE	Качество работы	Какие действия помогают сделать результат работы надежнее?	A=не выполнять долгие операции в UI-потоке|B=хранить токен доступа в открытом виде в коде|C=проверять разрешения приложения|D=обрабатывать поворот экрана	A,C,D	
Java	Android Developer	9	MULTIPLE_CHOICE	Инструменты и данные	Какие элементы действительно могут использоваться в работе с Java?	A=Android SDK|B=SQLite|C=монтаж видео в TikTok|D=XML layout	A,B,D	
Java	Android Developer	10	MULTIPLE_CHOICE	Понимание процесса	Что стоит сделать перед тем, как считать задачу готовой?	A=удалить проект после запуска|B=проверить работу на тестовых данных|C=посмотреть, понятен ли результат пользователю|D=убедиться, что нет очевидных ошибок	B,C,D	
Java	Android Developer	11	MULTIPLE_CHOICE	Безопасность и ошибки	Какие действия помогают избежать типичных ошибок junior-разработчика?	A=обрабатывать ошибки|B=игнорировать все предупреждения|C=не доверять непроверенным входным данным|D=читать сообщения об ошибках	A,C,D	
Java	Android Developer	12	MULTIPLE_CHOICE	Командная разработка	Что полезно делать при работе над проектом в команде?	A=писать понятные названия|B=делать небольшие осмысленные изменения|C=оставлять комментарии там, где логика неочевидна|D=менять чужой код без понимания задачи	A,B,C	
Java	Android Developer	13	MATCHING	Термины и инструменты	Сопоставьте инструмент и его назначение.			Activity=>экран приложения|Intent=>переход или действие|Gradle=>сборка проекта|RecyclerView=>список элементов
Java	Android Developer	14	MATCHING	Базовые понятия	Сопоставьте термин и описание.			onCreate=>первичная инициализация экрана|View=>элемент интерфейса|Adapter=>связь данных со списком|Manifest=>настройки приложения
Java	Android Developer	15	MATCHING	Процесс работы	Сопоставьте часть процесса и ее роль.			layout=>описание UI|Activity=>логика экрана|API client=>загрузка данных|RecyclerView=>отображение списка
Java	Android Developer	16	SHORT_TEXT	Краткий ответ	Как называется экран Android-приложения?		Activity	
Java	Android Developer	17	SHORT_TEXT	Краткий ответ	Как называется файл сборки Android-проекта?		Gradle	
Java	Android Developer	18	SHORT_TEXT	Краткий ответ	Как называется объект для перехода между экранами?		Intent	
Java	Android Developer	19	SHORT_TEXT	Краткий ответ	Как называется список элементов в Android?		RecyclerView	
Java	Android Developer	20	SHORT_TEXT	Краткий ответ	Какой формат часто приходит от API?		JSON	
Java	Android Developer	21	SHORT_TEXT	Краткий ответ	Как называется файл с настройками приложения Android?		Manifest	
C++	Junior C++ Developer	1	SINGLE_CHOICE	Роль и задачи	Что в первую очередь делает специалист «Junior C++ Developer»?	A=только рисует интерфейс в графическом редакторе|B=занимается только настройкой офисной почты|C=пишет только тексты для презентаций|D=пишет программы на C++, использует ООП, STL и базовые алгоритмы	D	
C++	Junior C++ Developer	2	SINGLE_CHOICE	Инструменты	Какой инструмент чаще всего подходит для использования готовых контейнеров и алгоритмов?	A=Photoshop|B=Figma|C=STL|D=vector	C	
C++	Junior C++ Developer	3	SINGLE_CHOICE	Базовые понятия	Что лучше всего описывает понятие «указатель»?	A=цветовая палитра приложения|B=случайная ошибка компилятора|C=переменная, которая хранит адрес в памяти|D=адрес сайта в браузере	C	
C++	Junior C++ Developer	4	SINGLE_CHOICE	Базовые понятия	Зачем обычно используют «ссылка»?	A=псевдоним уже существующей переменной|B=для выбора шрифта интерфейса|C=для оплаты подписки|D=для сжатия изображений	A	
C++	Junior C++ Developer	5	SINGLE_CHOICE	Форматы и обмен данными	Какой формат или протокол чаще всего встречается в задачах этой роли?	A=DOCX|B=class|C=PNG|D=MP3	B	
C++	Junior C++ Developer	6	SINGLE_CHOICE	Зависимости и окружение	Какой инструмент связан с зависимостями или окружением в этой категории?	A=PowerPoint|B=Paint|C=CMake|D=Telegram	C	
C++	Junior C++ Developer	7	MULTIPLE_CHOICE	Рабочие задачи	Какие задачи относятся к работе «Junior C++ Developer»?	A=писать классы и методы|B=разбирать базовые алгоритмы|C=работать с контейнерами STL|D=настраивать рекламные кампании	A,B,C	
C++	Junior C++ Developer	8	MULTIPLE_CHOICE	Качество работы	Какие действия помогают сделать результат работы надежнее?	A=читать неинициализированную память|B=использовать const там, где данные не меняются|C=освобождать ресурсы безопасно|D=инициализировать переменные	B,C,D	
C++	Junior C++ Developer	9	MULTIPLE_CHOICE	Инструменты и данные	Какие элементы действительно могут использоваться в работе с C++?	A=STL|B=монтаж видео в TikTok|C=vector|D=файлы	A,C,D	
C++	Junior C++ Developer	10	MULTIPLE_CHOICE	Понимание процесса	Что стоит сделать перед тем, как считать задачу готовой?	A=убедиться, что нет очевидных ошибок|B=проверить работу на тестовых данных|C=посмотреть, понятен ли результат пользователю|D=удалить проект после запуска	A,B,C	
C++	Junior C++ Developer	11	MULTIPLE_CHOICE	Безопасность и ошибки	Какие действия помогают избежать типичных ошибок junior-разработчика?	A=читать сообщения об ошибках|B=не доверять непроверенным входным данным|C=игнорировать все предупреждения|D=обрабатывать ошибки	A,B,D	
C++	Junior C++ Developer	12	MULTIPLE_CHOICE	Командная разработка	Что полезно делать при работе над проектом в команде?	A=делать небольшие осмысленные изменения|B=менять чужой код без понимания задачи|C=писать понятные названия|D=оставлять комментарии там, где логика неочевидна	A,C,D	
C++	Junior C++ Developer	13	MATCHING	Термины и инструменты	Сопоставьте инструмент и его назначение.			vector=>динамический массив|map=>словарь ключ-значение|string=>строка|sort=>сортировка элементов
C++	Junior C++ Developer	14	MATCHING	Базовые понятия	Сопоставьте термин и описание.			pointer=>хранит адрес|reference=>псевдоним переменной|class=>описание типа объекта|constructor=>инициализация объекта
C++	Junior C++ Developer	15	MATCHING	Процесс работы	Сопоставьте часть процесса и ее роль.			header=>объявления|source=>реализация|compiler=>перевод в машинный код|linker=>сборка частей программы
C++	Junior C++ Developer	16	SHORT_TEXT	Краткий ответ	Как называется стандартная библиотека контейнеров и алгоритмов C++?		STL	
C++	Junior C++ Developer	17	SHORT_TEXT	Краткий ответ	Как называется переменная, которая хранит адрес?		указатель	
C++	Junior C++ Developer	18	SHORT_TEXT	Краткий ответ	Какой контейнер C++ похож на динамический массив?		vector	
C++	Junior C++ Developer	19	SHORT_TEXT	Краткий ответ	Как называется метод, который вызывается при создании объекта?		конструктор	
C++	Junior C++ Developer	20	SHORT_TEXT	Краткий ответ	Как называется ключевое слово для неизменяемых данных?		const	
C++	Junior C++ Developer	21	SHORT_TEXT	Краткий ответ	Как называется инструмент для сборки C++-проектов?		CMake	
C++	Embedded Developer	1	SINGLE_CHOICE	Роль и задачи	Что в первую очередь делает специалист «Embedded Developer»?	A=занимается только настройкой офисной почты|B=пишет только тексты для презентаций|C=только рисует интерфейс в графическом редакторе|D=пишет код для микроконтроллеров и устройств с ограниченными ресурсами	D	
C++	Embedded Developer	2	SINGLE_CHOICE	Инструменты	Какой инструмент чаще всего подходит для управления электронным устройством?	A=GPIO|B=Photoshop|C=Figma|D=микроконтроллер	D	
C++	Embedded Developer	3	SINGLE_CHOICE	Базовые понятия	Что лучше всего описывает понятие «регистр»?	A=цветовая палитра приложения|B=адрес сайта в браузере|C=случайная ошибка компилятора|D=область памяти для управления аппаратным модулем	D	
C++	Embedded Developer	4	SINGLE_CHOICE	Базовые понятия	Зачем обычно используют «прерывание»?	A=реакция процессора на внешнее или внутреннее событие|B=для сжатия изображений|C=для выбора шрифта интерфейса|D=для оплаты подписки	A	
C++	Embedded Developer	5	SINGLE_CHOICE	Форматы и обмен данными	Какой формат или протокол чаще всего встречается в задачах этой роли?	A=PNG|B=бит|C=DOCX|D=MP3	B	
